Elukoht;isikute_arv_arvut;isikute_arv;vanus_0_14;vanus_15_64;vanus_65;Seisund_hoivatu;Seisund_oppur
1kmN6457E0409;512;512;115;304;93;259;22
1kmN6578E0534;512;512;115;306;91;258;22
1kmN6512E0635;511;511;100;302;109;235;28
1kmN6595E0551;511;511;125;300;86;246;30
1kmN6588E0521;509;509;71;363;75;269;14
1kmN6592E0552;506;506;114;346;46;275;22
1kmN6583E0548;504;504;183;305;16;235;21
1kmN6456E0411;501;501;75;321;105;263;19
1kmN6463E0590;498;498;92;292;114;226;21
1kmN6579E0544;496;496;115;352;29;298;32
1kmN6412E0650;494;494;62;290;142;199;19
1kmN6472E0662;493;493;89;329;75;255;35
1kmN6584E0672;492;492;38;285;169;215;19
1kmN6587E0533;492;492;160;314;18;258;11
1kmN6439E0569;491;491;58;280;153;187;14
1kmN6471E0535;489;489;76;321;92;256;25
1kmN6529E0525;487;487;76;284;127;234;21
1kmN6566E0516;485;485;83;307;95;233;21
1kmN6422E0676;483;483;88;292;103;217;37
1kmN6575E0532;482;482;152;308;22;252;38
1kmN6571E0537;480;480;143;308;29;247;26
1kmN6593E0558;479;479;82;277;120;240;20
1kmN6593E0554;478;478;55;317;106;260;17
1kmN6471E0527;478;478;69;295;114;221;25
1kmN6574E0637;477;477;115;282;80;217;18
1kmN6582E0633;475;475;65;322;88;246;28
1kmN6589E0685;473;473;56;287;130;202;13
1kmN6591E0550;473;473;65;295;113;244;23
1kmN6440E0681;465;465;58;294;113;223;16
1kmN6412E0678;465;465;72;289;104;208;23
1kmN6403E0695;464;464;70;292;102;224;16
1kmN6444E0703;463;463;53;286;124;220;22
1kmN6593E0547;463;463;79;323;61;239;36
1kmN6582E0687;461;461;52;268;141;161;16
1kmN6578E0575;461;461;80;287;94;200;19
1kmN6591E0734;460;460;84;279;97;187;26
1kmN6472E0656;459;459;83;286;90;238;23
1kmN6535E0485;458;458;89;273;96;213;18
1kmN6574E0536;457;457;129;284;44;221;35
1kmN6584E0546;456;456;150;281;25;222;18
1kmN6514E0639;454;454;50;263;141;194;30
1kmN6582E0546;454;454;193;248;13;196;19
1kmN6599E0545;451;451;107;274;70;235;16
1kmN6457E0658;449;449;80;301;68;234;23
1kmN6597E0551;449;449;88;284;77;232;28
1kmN6591E0524;449;449;111;281;57;240;20
1kmN6533E0475;448;448;71;302;75;240;14
1kmN6445E0555;447;447;60;242;145;176;19
1kmN6566E0511;447;447;69;263;115;206;12
1kmN6465E0397;446;446;25;314;107;141;8
1kmN6588E0529;443;443;122;287;34;244;18
1kmN6545E0608;441;441;94;268;79;210;22
1kmN6601E0547;439;439;92;303;44;236;40
1kmN6582E0535;438;438;81;271;86;225;31
1kmN6581E0566;437;437;94;258;85;216;16
1kmN6569E0688;436;436;81;277;78;200;27
1kmN6513E0638;434;434;59;252;123;207;20
1kmN6404E0623;433;433;89;261;83;184;23
1kmN6472E0655;433;433;109;289;35;229;27
1kmN6491E0679;430;430;72;309;49;214;19
1kmN6420E0678;429;429;71;262;96;184;19
1kmN6465E0668;429;429;78;301;50;217;24
1kmN6478E0661;429;429;109;285;35;220;18
1kmN6459E0410;428;428;60;285;83;225;25
1kmN6536E0548;427;427;89;270;68;209;17
1kmN6584E0517;426;426;70;263;93;214;18
1kmN6471E0531;426;426;76;265;85;203;22
1kmN6559E0621;420;420;58;254;108;150;22
1kmN6430E0614;420;420;62;238;120;183;23
1kmN6590E0545;420;420;84;297;39;224;16
1kmN6593E0549;420;420;92;285;43;227;26
1kmN6587E0738;419;419;72;243;104;150;17
1kmN6552E0577;417;417;76;282;59;221;12
1kmN6458E0413;417;417;83;272;62;207;21
1kmN6479E0661;417;417;108;271;38;208;31
1kmN6600E0545;415;415;77;254;84;212;25
1kmN6567E0528;414;414;89;258;67;210;20
1kmN6456E0640;412;412;89;248;75;192;13
1kmN6464E0678;410;410;76;281;53;191;37
1kmN6438E0647;408;408;46;245;117;200;19
1kmN6582E0542;407;407;42;287;78;242;18
1kmN6406E0620;407;407;54;255;98;171;20
1kmN6526E0669;404;404;37;250;117;166;23
1kmN6476E0529;403;403;93;275;35;212;15
1kmN6578E0533;403;403;135;257;11;198;26
1kmN6501E0560;402;402;55;237;110;192;15
1kmN6456E0610;402;402;60;259;83;194;16
1kmN6457E0642;399;399;55;221;123;173;17
1kmN6581E0567;395;395;79;226;90;185;14
1kmN6474E0520;394;394;51;260;83;184;21
1kmN6557E0600;394;394;55;243;96;195;18
1kmN6565E0511;393;393;48;270;75;199;12
1kmN6586E0532;392;392;150;234;8;187;11
1kmN6582E0668;390;390;45;225;120;174;14
1kmN6579E0502;389;389;49;271;69;199;18
1kmN6559E0620;389;389;50;230;109;173;25
1kmN6443E0580;388;388;46;246;96;167;22
1kmN6539E0427;387;387;35;256;96;199;15
1kmN6588E0685;387;387;49;248;90;144;17
1kmN6450E0687;387;387;84;227;76;143;17
1kmN6584E0673;386;386;41;239;106;186;12
1kmN6507E0683;385;385;41;242;102;163;11
1kmN6581E0560;384;384;78;247;59;206;20
1kmN6528E0583;384;384;90;240;54;186;21
1kmN6586E0702;381;381;47;211;123;142;13
1kmN6576E0544;381;381;87;238;56;191;18
1kmN6486E0656;381;381;104;221;56;175;13
1kmN6597E0548;380;380;105;248;27;188;21
1kmN6544E0598;376;376;67;243;66;167;15
1kmN6548E0513;375;375;57;232;86;173;11
1kmN6457E0630;374;374;62;242;70;165;22
1kmN6531E0525;374;374;70;244;60;191;20
1kmN6584E0541;373;373;71;249;53;198;12
1kmN6471E0668;373;373;86;232;55;177;17
1kmN6518E0582;372;372;50;237;85;159;31
1kmN6438E0646;372;372;56;228;88;179;16
1kmN6493E0651;372;372;57;246;69;200;12
1kmN6587E0532;368;368;113;239;16;182;18
1kmN6442E0593;366;366;46;248;72;150;16
1kmN6468E0659;366;366;112;231;23;181;18
1kmN6440E0591;364;364;30;245;89;186;21
1kmN6445E0703;364;364;41;236;87;177;13
1kmN6516E0638;364;364;53;228;83;169;22
1kmN6579E0621;363;363;54;213;96;174;24
1kmN6473E0527;360;360;39;209;112;160;7
1kmN6442E0681;360;360;63;245;52;173;15
1kmN6576E0521;360;360;96;226;38;169;42
1kmN6583E0681;359;359;41;218;100;175;20
1kmN6591E0523;359;359;91;230;38;180;28
1kmN6469E0674;358;358;68;247;43;174;19
1kmN6551E0518;357;357;67;237;53;188;19
1kmN6583E0668;356;356;50;218;88;158;16
